Geo_Point,PTCAR_ID,TAF_TAP_code,Symbolic_name,Abbreviation_BTS_French_short,Abbreviation_BTS_Dutch_short,Abbreviation_BTS_French_complete,Abbreviation_BTS_Dutch_complete,Short_name_in_French,Short_name_in_Dutch,Middle_name_in_French,Middle_name_in_Dutch,Complete_name_in_French,Complete_name_in_Dutch,Classification_NL,Classification_EN,Classification_FR
"50.46139347285148, 4.210703196219685",1572,BE01572,YMMNT,Y.MARIEMONT,Y.MARIEMONT,Y.MARIEMONT,Y.MARIEMONT,Y.Mariemont,Y.Mariemont,Y.Mariemont,Y.Mariemont,Y.Mariemont,Y.Mariemont,Vertakking,Junction,Bifurcation
"51.29892746205208, 4.337819422392462",1381,BE01381,YWLIL,Y.W.LILLO,Y.W.LILLO,Y.WEST DRIEHOEK LILLO,Y.WEST DRIEHOEK LILLO,Y.W.Lillo,Y.W.Lillo,Y.West Dr.Lillo,Y.West Dr.Lillo,Y.West Driehoek Lillo,Y.West Driehoek Lillo,Vertakking,Junction,Bifurcation
"49.79303271617261, 5.4988169161457",696,BE00696,MLV,LAVAUX,LAVAUX,LAVAUX,LAVAUX,Lavaux,Lavaux,Lavaux,Lavaux,Lavaux,Lavaux,Rooster,Grid,Gril
"50.90473848938875, 4.441374824995718",1354,BE01354,YMCHZ,Y.MACHELEN-Z,Y.MACHELEN-Z,Y.MACHELEN-ZUID,Y.MACHELEN-ZUID,Y.Machelen-Z,Y.Machelen-Z,Y.Machelen-Zuid,Y.Machelen-Zuid,Y.Machelen-Zuid,Y.Machelen-Zuid,Vertakking,Junction,Bifurcation
"50.9094664353925, 4.461056596017587",1357,BE01357,YBRCG,Y.BRUCARGO,Y.BRUCARGO,Y.BRUCARGO,Y.BRUCARGO,Y.Brucargo,Y.Brucargo,Y.Brucargo,Y.Brucargo,Y.Brucargo,Y.Brucargo,Vertakking,Junction,Bifurcation
"50.462305816524065, 4.277996688867015",115,BE00115,LBC,BASCOUP,BASCOUP,BASCOUP,BASCOUP,Bascoup,Bascoup,Bascoup,Bascoup,Bascoup,Bascoup,Station,Station,Gare
"50.80933918367418, 3.22722203004827",116,BE00116,LKRLN,KORTRIJK-RLN,KORTRIJK-RLN,KORTRIJK-RINGLAAN,KORTRIJK-RINGLAAN,Kortrijk-Rln,Kortrijk-Rln,Kortrijk-Ringlaan,Kortrijk-Ringlaan,Kortrijk-Ringlaan,Kortrijk-Ringlaan,Rooster,Grid,Gril
"51.30099349597453, 4.335622660420934",1382,BE01382,YNLIL,Y.N.LILLO,Y.N.LILLO,Y.NOORD DRIEHOEK LILLO,Y.NOORD DRIEHOEK LILLO,Y.N.Lillo,Y.N.Lillo,Y.Noord Dr.Lillo,Y.Noord Dr.Lillo,Y.Noord Driehoek Lillo,Y.Noord Driehoek Lillo,Vertakking,Junction,Bifurcation
"50.75649531011345, 5.61196389184814",119,BE00119,GBG,BASSENGE,BASSENGE,BASSENGE,BASSENGE,Bassenge,Bitsingen,Bassenge,Bitsingen,Bassenge,Bitsingen,Rooster,Grid,Gril
"51.19562400018821, 4.395211995497654",1500,BE01500,YFNZD,Y.ANTW-ZUID,Y.ANTW-ZUID,Y.ANTWERPEN-ZUID,Y.ANTWERPEN-ZUID,Y.Antw-Zuid,Y.Antw-Zuid,Y.Antwerpen-Zuid,Y.Antwerpen-Zuid,Y.Antwerpen-Zuid,Y.Antwerpen-Zuid,Vertakking,Junction,Bifurcation
"50.51038829262409, 4.219957243963904",1511,BE01511,YBHAI,Y.BOIS-HAINE,Y.BOIS-HAINE,Y.BOIS-DHAINE,Y.BOIS-DHAINE,Y.Bois-Haine,Y.Bois-Haine,Y.Bois-dHaine,Y.Bois-dHaine,Y.Bois-dHaine,Y.Bois-dHaine,Vertakking,Junction,Bifurcation
"49.6909161727169, 5.765610973974054",290,BE00290,MKMND,STOCKEM-NORD,STOCKEM-NORD,STOCKEM-NORD,STOCKEM-NORD,Stockem-Nord,Stockem-Nord,Stockem-Nord,Stockem-Nord,Stockem-Nord,Stockem-Nord,Rooster,Grid,Gril
"51.075287789349346, 3.763090598782272",928,BE00928,FOA,OOSTAKKER,OOSTAKKER,OOSTAKKER,OOSTAKKER,Oostakker,Oostakker,Oostakker,Oostakker,Oostakker,Oostakker,Rooster,Grid,Gril
"51.29273268241176, 4.39366539448445",1907,BE01907,FNT11,ANT-N-T11L/1,ANT-N-T11L/1,ANTWERPEN-NOORD-TOEGANG 11L/1,ANTWERPEN-NOORD-TOEGANG 11L/1,Ant-N-T11L/1,Ant-N-T11L/1,Antw-Nd-T 11L/1,Antw-Nd-T 11L/1,Antwerpen-Noord-Toegang 11L/1,Antwerpen-Noord-Toegang 11L/1,Rooster,Grid,Gril
"51.3022170075917, 4.339413480763752",1662,BE01662,YBERW,Y.BERLIWAL,Y.BERLIWAL,Y.BERLIWAL,Y.BERLIWAL,Y.Berliwal,Y.Berliwal,Y.Berliwal,Y.Berliwal,Y.Berliwal,Y.Berliwal,Vertakking,Junction,Bifurcation
"51.27969895033955, 4.262883105354009",1829,BE01829,YKHKW,Y.KALISHK-W,Y.KALISHK-W,Y.KALISHOEK-WEST,Y.KALISHOEK-WEST,Y.Kalishk-W,Y.Kalishk-W,Y.Kalishoek-West,Y.Kalishoek-West,Y.Kalishoek-West,Y.Kalishoek-West,Vertakking,Junction,Bifurcation
"50.90961688178557, 4.719326242845145",1548,BE01548,YHLBK,Y.HOLSBEEK,Y.HOLSBEEK,Y.HOLSBEEK,Y.HOLSBEEK,Y.Holsbeek,Y.Holsbeek,Y.Holsbeek,Y.Holsbeek,Y.Holsbeek,Y.Holsbeek,Vertakking,Junction,Bifurcation
"50.704424895414185, 3.83545497206669",1549,BE01549,YHRNG,Y.HOURAING,Y.HOURAING,Y.HOURAING,Y.HOURAING,Y.Houraing,Y.Houraing,Y.Houraing,Y.Houraing,Y.Houraing,Y.Houraing,Vertakking,Junction,Bifurcation
"50.87162145190207, 4.375211552683019",1552,BE01552,YJSPH,Y.JOSAPHAT,Y.JOSAPHAT,Y.JOSAPHAT,Y.JOSAPHAT,Y.Josaphat,Y.Josaphat,Y.Josaphat,Y.Josaphat,Y.Josaphat,Y.Josaphat,Vertakking,Junction,Bifurcation
"50.8294005268304, 3.247974508481146",1557,BE01557,YLKW,Y.KORTRIJK-W,Y.KORTRIJK-W,Y.KORTRIJK-WEST,Y.KORTRIJK-WEST,Y.Kortrijk-W,Y.Kortrijk-W,Y.Kortrijk-West,Y.Kortrijk-West,Y.Kortrijk-West,Y.Kortrijk-West,Vertakking,Junction,Bifurcation
"51.29239170002687, 4.354243890913291",1559,BE01559,YKRSK,Y.KRUISKE,Y.KRUISKE,Y.KRUISKE,Y.KRUISKE,Y.Kruiske,Y.Kruiske,Y.Kruiske,Y.Kruiske,Y.Kruiske,Y.Kruiske,Vertakking,Junction,Bifurcation
"50.4086283644501, 4.403591480353787",1561,BE01561,YLLS,Y.LA SAMBRE,Y.LA SAMBRE,Y.LA SAMBRE,Y.LA SAMBRE,Y.La Sambre,Y.La Sambre,Y.La Sambre,Y.La Sambre,Y.La Sambre,Y.La Sambre,Vertakking,Junction,Bifurcation
"50.82595266208401, 3.252549646045009",1562,BE01562,YLEBR,Y.LEIEBRUG,Y.LEIEBRUG,Y.LEIEBRUG,Y.LEIEBRUG,Y.Leiebrug,Y.Leiebrug,Y.Leiebrug,Y.Leiebrug,Y.Leiebrug,Y.Leiebrug,Vertakking,Junction,Bifurcation
"50.90785130285389, 4.421297010724068",1571,BE01571,YMCHL,Y.MACHELEN,Y.MACHELEN,Y.MACHELEN,Y.MACHELEN,Y.Machelen,Y.Machelen,Y.Machelen,Y.Machelen,Y.Machelen,Y.Machelen,Vertakking,Junction,Bifurcation
"50.74828960167368, 4.485838847594559",1396,BE01396,RBKBS,BAKENBOS,BAKENBOS,BAKENBOS,BAKENBOS,Bakenbos,Bakenbos,Bakenbos,Bakenbos,Bakenbos,Bakenbos,Rooster,Grid,Gril
"51.28454094868013, 3.196967044137003",1398,BE01398,YTDST,Y.TER DOEST,Y.TER DOEST,Y.TER DOEST,Y.TER DOEST,Y.Ter Doest,Y.Ter Doest,Y.Ter Doest,Y.Ter Doest,Y.Ter Doest,Y.Ter Doest,Vertakking,Junction,Bifurcation
"51.28894479292236, 3.237374559843152",1408,BE01408,YEIV,Y.EIVOORDE,Y.EIVOORDE,Y.EIVOORDE,Y.EIVOORDE,Y.Eivoorde,Y.Eivoorde,Y.Eivoorde,Y.Eivoorde,Y.Eivoorde,Y.Eivoorde,Vertakking,Junction,Bifurcation
"50.74426996975439, 5.694480854427399",1197,BE01197,YFVSH,Y.VISE-HAUT,Y.VISE-HAUT,Y.VISE-HAUT,Y.VISE-HAUT,Y.Visé-Haut,Y.Visé-Haut,Y.Visé-Haut,Y.Visé-Haut,Y.Visé-Haut,Y.Visé-Haut,Vertakking,Junction,Bifurcation
"51.275284579087646, 4.279426526114791",1971,BE01971,YKTNW,Y.KETENIS-W,Y.KETENIS-W,Y.KETENIS-WEST,Y.KETENIS-WEST,Y.Ketenis-W,Y.Ketenis-W,Y.Ketenis-West,Y.Ketenis-West,Y.Ketenis-West,Y.Ketenis-West,Vertakking,Junction,Bifurcation
"51.29792181670577, 3.193490429501552",1980,BE01980,RLZRF,ZEEBRUGGE-F,ZEEBRUGGE-F,ZEEBRUGGE-ROOSTER F,ZEEBRUGGE-ROOSTER F,Zeebrugge-F,Zeebrugge-F,Zeebrugge-Rooster F,Zeebrugge-Rooster F,Zeebrugge-Rooster F,Zeebrugge-Rooster F,Rooster,Grid,Gril
"50.894070661868874, 4.410268286826414",2005,BE02005,FSRRG,SCHAERBEEK-G,SCHAARBEEK-G,SCHAERBEEK-GRIL G,SCHAARBEEK-ROOSTER G,Schaerbeek-G,Schaarbeek-G,Schaerbeek-Gril G,Schaarbeek-Rooster G,Schaerbeek-Gril G,Schaarbeek-Rooster G,Rooster,Grid,Gril
"51.073377753728096, 3.737757578999591",172,BE00172,YMUDE,Y.MUIDE,Y.MUIDE,Y.MUIDE,Y.MUIDE,Y.Muide,Y.Muide,Y.Muide,Y.Muide,Y.Muide,Y.Muide,Vertakking,Junction,Bifurcation
"51.196011000192655, 4.435266995483829",1586,BE01586,YGHKN,Y.N.GROENENH,Y.N.GROENENH,Y.NOORD GROENENHOEK,Y.NOORD GROENENHOEK,Y.N.Groenenh,Y.N.Groenenh,Y.Noord Groenenhoek,Y.Noord Groenenhoek,Y.Noord Groenenhoek,Y.Noord Groenenhoek,Vertakking,Junction,Bifurcation
"50.40745107852447, 4.416174176954863",1589,BE01589,YNORD,Y.NORD,Y.NORD,Y.NORD,Y.NORD,Y.Nord,Y.Nord,Y.Nord,Y.Nord,Y.Nord,Y.Nord,Vertakking,Junction,Bifurcation
"51.29178681128692, 4.361411901660779",1590,BE01590,YORDR,Y.OORDEREN,Y.OORDEREN,Y.OORDEREN,Y.OORDEREN,Y.Oorderen,Y.Oorderen,Y.Oorderen,Y.Oorderen,Y.Oorderen,Y.Oorderen,Vertakking,Junction,Bifurcation
"50.802437162500325, 4.304387596648846",2008,BE02008,RRBB,RUISBR-B-IN,RUISBR-B-IN,RUISBROEK-BUNDEL-INRIT,RUISBROEK-BUNDEL-INRIT,Ruisbr-B-In,Ruisbr-B-In,Ruisbroek-Bund-Inrit,Ruisbroek-Bund-Inrit,Ruisbroek-Bundel-Inrit,Ruisbroek-Bundel-Inrit,Rooster,Grid,Gril
"50.41490172040765, 4.526329948629344",2007,BE02007,FCLGE,CHATELET-E,CHATELET-E,CHATELET-GRIL EST,CHATELET-GRIL EST,Châtelet-E,Châtelet-E,Châtelet-Gril Est,Châtelet-Gril Est,Châtelet-Gril Est,Châtelet-Gril Est,Rooster,Grid,Gril
"51.135770680203706, 4.558748761923737",765,BE00765,FLRCG,LIER-C/G,LIER-C/G,LIER-ROOSTER C/G,LIER-ROOSTER C/G,Lier-C/G,Lier-C/G,Lier-Rooster C/G,Lier-Rooster C/G,Lier-Rooster C/G,Lier-Rooster C/G,Rooster,Grid,Gril
"51.26457779440188, 4.429058737563813",766,BE00766,RLBS,LUCHTBAL-S,LUCHTBAL-S,LUCHTBAL-ROOSTER S,LUCHTBAL-ROOSTER S,Luchtbal-S,Luchtbal-S,Luchtbal-Rooster S,Luchtbal-Rooster S,Luchtbal-Rooster S,Luchtbal-Rooster S,Rooster,Grid,Gril
"51.32114496501331, 3.187651100162587",2026,BE02026,RLZRH,ZEEBRUGGE-H,ZEEBRUGGE-H,ZEEBRUGGE-ROOSTER H,ZEEBRUGGE-ROOSTER H,Zeebrugge-H,Zeebrugge-H,Zeebrugge-Rooster H,Zeebrugge-Rooster H,Zeebrugge-Rooster H,Zeebrugge-Rooster H,Rooster,Grid,Gril
"50.455317465742034, 4.670369875157946",2041,BE02041,GSOL1,ENTR.SOLVAY1,ENTR.SOLVAY1,ENTREE RACC.MOUSTIER-SOLVAY 1,ENTREE RACC.MOUSTIER-SOLVAY 1,Entr.Solvay1,Entr.Solvay1,Entrée Racc.Solvay 1,Entrée Racc.Solvay 1,Entrée Racc.Moustier-Solvay 1,Entrée Racc.Moustier-Solvay 1,Rooster,Grid,Gril
"50.8177414446169, 4.297072131645112",2051,BE02051,RANDO,ANDERLECHT-E,ANDERLECHT-O,ANDERLECHT-GRIL EST,ANDERLECHT-ROOSTER OOST,Anderlecht-E,Anderlecht-O,Anderlecht-Gril Est,Anderlecht-R.Oost,Anderlecht-Gril Est,Anderlecht-Rooster Oost,Rooster,Grid,Gril
"51.291923698094074, 4.234915565506793",1459,BE01459,YARBG,Y.ARENBERG,Y.ARENBERG,Y.ARENBERG,Y.ARENBERG,Y.Arenberg,Y.Arenberg,Y.Arenberg,Y.Arenberg,Y.Arenberg,Y.Arenberg,Vertakking,Junction,Bifurcation
"51.288498513460716, 4.276693858583142",1462,BE01462,YKHKO,Y.KALISHK-O,Y.KALISHK-O,Y.KALISHOEK-OOST,Y.KALISHOEK-OOST,Y.Kalishk-O,Y.Kalishk-O,Y.Kalishoek-Oost,Y.Kalishoek-Oost,Y.Kalishoek-Oost,Y.Kalishoek-Oost,Vertakking,Junction,Bifurcation
"51.24913815062452, 4.3430963170874",1463,BE01463,YPLDK,Y.POLDERDIJK,Y.POLDERDIJK,Y.POLDERDIJK,Y.POLDERDIJK,Y.Polderdijk,Y.Polderdijk,Y.Polderdijk,Y.Polderdijk,Y.Polderdijk,Y.Polderdijk,Vertakking,Junction,Bifurcation
"50.446981096011356, 3.840231010695102",175,BE00175,YCRIQ,Y.CRIQUELION,Y.CRIQUELION,Y.CRIQUELION,Y.CRIQUELION,Y.Criquelion,Y.Criquelion,Y.Criquelion,Y.Criquelion,Y.Criquelion,Y.Criquelion,Vertakking,Junction,Bifurcation
"50.832002699125425, 4.322782532525427",1521,BE01521,YKUGM,Y.CUREGHEM,Y.KUREGEM,Y.CUREGHEM,Y.KUREGEM,Y.Cureghem,Y.Kuregem,Y.Cureghem,Y.Kuregem,Y.Cureghem,Y.Kuregem,Vertakking,Junction,Bifurcation
"50.89184950999549, 4.43455487568017",1523,BE01523,YFDG,Y.DIEGEM,Y.DIEGEM,Y.DIEGEM,Y.DIEGEM,Y.Diegem,Y.Diegem,Y.Diegem,Y.Diegem,Y.Diegem,Y.Diegem,Vertakking,Junction,Bifurcation
"51.179461412478126, 4.465045895223738",1525,BE01525,YDRBS,Y.DRABSTRAAT,Y.DRABSTRAAT,Y.DRABSTRAAT,Y.DRABSTRAAT,Y.Drabstraat,Y.Drabstraat,Y.Drabstraat,Y.Drabstraat,Y.Drabstraat,Y.Drabstraat,Vertakking,Junction,Bifurcation
"51.286751636265755, 4.422386990324302",1526,BE01526,YDRHS,Y.DRIEH.STR,Y.DRIEH.STR,Y.DRIEHOEKSTRAAT,Y.DRIEHOEKSTRAAT,Y.Drieh.Str,Y.Drieh.Str,Y.Driehoekstraat,Y.Driehoekstraat,Y.Driehoekstraat,Y.Driehoekstraat,Vertakking,Junction,Bifurcation
"50.58322684124885, 4.130258427548295",1528,BE01528,YFCS,Y.ECAUSSINN,Y.ECAUSSINN,Y.ECAUSSINNES,Y.ECAUSSINNES,Y.Ecaussinn,Y.Ecaussinn,Y.Ecaussinnes,Y.Ecaussinnes,Y.Ecaussinnes,Y.Ecaussinnes,Vertakking,Junction,Bifurcation
"51.284050329302815, 4.386632815831943",1529,BE01529,YEKDK,Y.EKERSEDIJK,Y.EKERSEDIJK,Y.EKERSEDIJK,Y.EKERSEDIJK,Y.Ekersedijk,Y.Ekersedijk,Y.Ekersedijk,Y.Ekersedijk,Y.Ekersedijk,Y.Ekersedijk,Vertakking,Junction,Bifurcation
"50.65842827922301, 5.450848545826367",1632,BE01632,YGVX,Y.VOROUX,Y.VOROUX,Y.VOROUX,Y.VOROUX,Y.Voroux,Y.Voroux,Y.Voroux,Y.Voroux,Y.Voroux,Y.Voroux,Vertakking,Junction,Bifurcation
"50.938127464835325, 5.298148822592871",1637,BE01637,YFHSW,Y.W.HASSELT,Y.W.HASSELT,Y.WEST DRIEHOEK HASSELT,Y.WEST DRIEHOEK HASSELT,Y.W.Hasselt,Y.W.Hasselt,Y.West Dr.Hasselt,Y.West Dr.Hasselt,Y.West Driehoek Hasselt,Y.West Driehoek Hasselt,Vertakking,Junction,Bifurcation
"51.172321603152675, 4.805158243967334",1647,BE01647,YALBK,Y.ALBERTKAN,Y.ALBERTKAN,Y.ALBERTKANAAL,Y.ALBERTKANAAL,Y.Albertkan,Y.Albertkan,Y.Albertkanaal,Y.Albertkanaal,Y.Albertkanaal,Y.Albertkanaal,Vertakking,Junction,Bifurcation
"50.55839178701686, 3.463377295826743",1649,BE01649,YFNT,Y.ANTOING,Y.ANTOING,Y.ANTOING,Y.ANTOING,Y.Antoing,Y.Antoing,Y.Antoing,Y.Antoing,Y.Antoing,Y.Antoing,Vertakking,Junction,Bifurcation
"50.895826490343545, 4.424177088840938",1658,BE01658,YKEBK,Y.KEELBEEK,Y.KEELBEEK,Y.KEELBEEK,Y.KEELBEEK,Y.Keelbeek,Y.Keelbeek,Y.Keelbeek,Y.Keelbeek,Y.Keelbeek,Y.Keelbeek,Vertakking,Junction,Bifurcation
"50.71051371175523, 4.154976048713444",1033,BE01033,FSA,SAINTES,SAINTES,SAINTES,SAINTES,Saintes,Saintes,Saintes,Saintes,Saintes,Saintes,Rooster,Grid,Gril
"49.66445133811217, 5.438476714155181",1040,BE01040,RMBF,ST-VINCENT-B,ST-VINCENT-B,SAINT-VINCENT-BELLEFONTAINE,SAINT-VINCENT-BELLEFONTAINE,St-Vincent-B,St-Vincent-B,St-Vincent-Bellefont,St-Vincent-Bellefont,Saint-Vincent-Bellefontaine,Saint-Vincent-Bellefontaine,Rooster,Grid,Gril
"51.236686921498766, 4.330436623144807",1668,BE01668,V3M,V.3M BE,V.3M BE,VERB.3M BELGIUM,VERB.3M BELGIUM,V.3M Be,V.3M Be,Verb.3M Belgium,Verb.3M Belgium,Verb.3M Belgium,Verb.3M Belgium,Verbinding,Connection,Raccordement
"51.21597773801392, 2.948865118093863",1689,BE01689,FSDW,OOSTENDE-TW,OOSTENDE-TW,OOSTENDE-T.W.,OOSTENDE-T.W.,Oostende-TW,Oostende-TW,Oostende-T.W.,Oostende-T.W.,Oostende-T.W.,Oostende-T.W.,Dienstinstallatie,Service installation,Installation de service
"49.65563869479404, 5.55079648214504",1702,BE01702,YSTLB,Y.ST-LAMBERT,Y.ST-LAMBERT,Y.SAINT-LAMBERT,Y.SAINT-LAMBERT,Y.St-Lambert,Y.St-Lambert,Y.Saint-Lambert,Y.Saint-Lambert,Y.Saint-Lambert,Y.Saint-Lambert,Vertakking,Junction,Bifurcation
"51.26102451431954, 4.27103758710629",1705,BE01705,YDENB,Y.DEN BEER,Y.DEN BEER,Y.DEN BEER,Y.DEN BEER,Y.Den Beer,Y.Den Beer,Y.Den Beer,Y.Den Beer,Y.Den Beer,Y.Den Beer,Vertakking,Junction,Bifurcation
"51.268653933584865, 4.328345758878004",1469,BE01469,VTOTL,V.TOTAL,V.TOTAL,VERB.TOTAL,VERB.TOTAL,V.Total,V.Total,Verb.Total,Verb.Total,Verb.Total,Verb.Total,Verbinding,Connection,Raccordement
"51.280551840801806, 4.209542950726981",1477,BE01477,YSPFT,Y.SPAANS FRT,Y.SPAANS FRT,Y.SPAANS FORT,Y.SPAANS FORT,Y.Spaans Frt,Y.Spaans Frt,Y.Spaans Fort,Y.Spaans Fort,Y.Spaans Fort,Y.Spaans Fort,Vertakking,Junction,Bifurcation
"50.614492000531435, 5.591318995023055",1497,BE01497,YAGSS,Y.AGUESSES,Y.AGUESSES,Y.AGUESSES,Y.AGUESSES,Y.Aguesses,Y.Aguesses,Y.Aguesses,Y.Aguesses,Y.Aguesses,Y.Aguesses,Vertakking,Junction,Bifurcation
"51.21651507004389, 2.945017046243397",26,BE00026,RFSDG,OOSTENDE-G,OOSTENDE-G,OOSTENDE-ROOSTER G,OOSTENDE-ROOSTER G,Oostende-G,Oostende-G,Oostende-Rooster G,Oostende-Rooster G,Oostende-Rooster G,Oostende-Rooster G,Rooster,Grid,Gril
"51.26700895207195, 4.284809107956587",1706,BE01706,YFNSO,Y.FARNESE-O,Y.FARNESE-O,Y.FARNESE-OOST,Y.FARNESE-OOST,Y.Farnese-O,Y.Farnese-O,Y.Farnese-Oost,Y.Farnese-Oost,Y.Farnese-Oost,Y.Farnese-Oost,Vertakking,Junction,Bifurcation
"50.90181699005505, 4.704375755854784",1729,BE01729,YWILS,Y.WILSELE,Y.WILSELE,Y.WILSELE,Y.WILSELE,Y.Wilsele,Y.Wilsele,Y.Wilsele,Y.Wilsele,Y.Wilsele,Y.Wilsele,Vertakking,Junction,Bifurcation
"50.45520871898445, 4.812381100234517",1735,BE01735,YFFW,Y.FLAWINNE,Y.FLAWINNE,Y.FLAWINNE,Y.FLAWINNE,Y.Flawinne,Y.Flawinne,Y.Flawinne,Y.Flawinne,Y.Flawinne,Y.Flawinne,Vertakking,Junction,Bifurcation
"50.684695965115516, 4.570552882886184",1740,BE01740,YLTR,Y.OTTIGN-REL,Y.OTTIGN-REL,Y.OTTIGNIES-RELAIS,Y.OTTIGNIES-RELAIS,Y.Ottign-Rel,Y.Ottign-Rel,Y.Ottignies-Relais,Y.Ottignies-Relais,Y.Ottignies-Relais,Y.Ottignies-Relais,Vertakking,Junction,Bifurcation
"51.28760646596671, 4.241959902167936",1826,BE01826,YKRHK,Y.KROMMENHK,Y.KROMMENHK,Y.KROMMENHOEK,Y.KROMMENHOEK,Y.Krommenhk,Y.Krommenhk,Y.Krommenhoek,Y.Krommenhoek,Y.Krommenhoek,Y.Krommenhoek,Vertakking,Junction,Bifurcation
"50.45947162008134, 3.837399322216231",2070,BE02070,CRQLN,CRIQUELION-F,CRIQUELION-F,CRIQUELION-FAISCEAU,CRIQUELION-FAISCEAU,Criquelion-F,Criquelion-F,Criquelion-Faisceau,Criquelion-Faisceau,Criquelion-Faisceau,Criquelion-Faisceau,Verbinding,Connection,Raccordement
"51.27891058468551, 4.247625537715822",2063,BE02063,KIELD,KIELDRSLUIS,KIELDRSLUIS,KIELDRECHTSLUIS,KIELDRECHTSLUIS,Kieldrsluis,Kieldrsluis,Kieldrechtsluis,Kieldrechtsluis,Kieldrechtsluis,Kieldrechtsluis,Beweegbare brug,Movable bridge,Pont mobile
"51.46273699530374, 4.451116949303227",376,BE00376,FES,ESSEN,ESSEN,ESSEN,ESSEN,Essen,Essen,Essen,Essen,Essen,Essen,Station,Station,Gare
"50.935179141861404, 5.476081791234663",1444,BE01444,FKGL2,GENK-ZLO-232,GENK-ZLO-232,GENK-ZUID-L.O.-L232,GENK-ZUID-L.O.-L232,Genk-ZLO-232,Genk-ZLO-232,Genk-Zuid-L.O.-L232,Genk-Zuid-L.O.-L232,Genk-Zuid-L.O.-L232,Genk-Zuid-L.O.-L232,Verbinding,Connection,Raccordement
"50.490753740198194, 5.58716027418703",1246,BE01246,MRVM,RIVAGE-MARCH,RIVAGE-MARCH,RIVAGE-MARCHANDISES,RIVAGE-MARCHANDISES,Rivage-March,Rivage-March,Rivage-Marchandises,Rivage-Marchandises,Rivage-Marchandises,Rivage-Marchandises,Station,Station,Gare
"50.43603991330167, 3.795971741039548",195,BE00195,FSB,BOUSSU,BOUSSU,BOUSSU,BOUSSU,Boussu,Boussu,Boussu,Boussu,Boussu,Boussu,Station,Station,Gare
"51.292675494968876, 4.434565179916575",1084,BE01084,GSM,ST-MARIABURG,ST-MARIABURG,SINT-MARIABURG,SINT-MARIABURG,St-Mariaburg,St-Mariaburg,Sint-Mariaburg,Sint-Mariaburg,Sint-Mariaburg,Sint-Mariaburg,Station,Station,Gare
"50.55665902409977, 4.551641295273522",1149,BE01149,GTI,TILLY,TILLY,TILLY,TILLY,Tilly,Tilly,Tilly,Tilly,Tilly,Tilly,Station,Station,Gare
"50.26073067041864, 4.908199790124128",329,BE00329,NDT,DINANT,DINANT,DINANT,DINANT,Dinant,Dinant,Dinant,Dinant,Dinant,Dinant,Station,Station,Gare
"50.69017183453852, 3.86463633476442",2055,BE02055,FLNCC,LESS-CAR-CDS,LESS-CAR-CDS,LESSINES-CARRIERES-CUL DE SAC,LESSINES-CARRIERES-CUL DE SAC,Less-Car-Cds,Less-Car-Cds,Lessines-Car-Cds,Lessines-Car-Cds,Lessines-Carrières-Cul de sac,Lessines-Carrières-Cul de sac,Andere,Other,Autre
"50.71553397188341, 4.383453532044176",1218,BE01218,FWT,WATERLOO,WATERLOO,WATERLOO,WATERLOO,Waterloo,Waterloo,Waterloo,Waterloo,Waterloo,Waterloo,Stopplaats,Stop in open track,Point darrêt
"50.88356405952043, 4.397792390359354",466,BE00466,FSRP,SCHAERBEEK-P,SCHAARBEEK-P,SCHAERBEEK-FAISCEAU P,SCHAARBEEK-BUNDEL P,Schaerbeek-P,Schaarbeek-P,Schaerbeek-Faisc. P,Schaarbeek-Bundel P,Schaerbeek-Faisceau P,Schaarbeek-Bundel P,Station,Station,Gare
"50.453691686627764, 4.823011898207809",1011,BE01011,FEOF,RONET-FORM,RONET-FORM,RONET-FORMATION,RONET-FORMATION,Ronet-Form,Ronet-Vorm,Ronet-Formation,Ronet-Vorming,Ronet-Formation,Ronet-Vorming,Station,Station,Gare
"50.77094924712692, 3.872417489386795",458,BE00458,FGRA,GBERGEN,GBERGEN,GERAARDSBERGEN,GERAARDSBERGEN,Grammont,Gbergen,Grammont,Geraardsbergen,Grammont,Geraardsbergen,Station,Station,Gare
"51.22188632573157, 2.985455754750906",942,BE00942,FSDP1,PLASSENDALE1,PLASSENDALE1,OOSTENDE-BUNDEL PLASSENDALE 1,OOSTENDE-BUNDEL PLASSENDALE 1,Plassendale1,Plassendale1,Bundel Plassendale 1,Bundel Plassendale 1,Oostende-Bundel Plassendale 1,Oostende-Bundel Plassendale 1,Verbinding,Connection,Raccordement
"51.22794248176095, 2.926625863400863",929,BE00929,FSD,OOSTENDE,OOSTENDE,OOSTENDE,OOSTENDE,Ostende,Oostende,Ostende,Oostende,Ostende,Oostende,Station,Station,Gare
"50.7651283796248, 4.272571084761274",759,BE00759,LOT,LOT,LOT,LOT,LOT,Lot,Lot,Lot,Lot,Lot,Lot,Station,Station,Gare
"50.89615847020533, 4.409001663110517",1753,BE01753,FSRG,SCHAERB-GR.G,SCHAARB-GR.G,SCHAERBEEK-GROUPE G,SCHAARBEEK-GROEP G,Schaerb-Gr.G,Schaarb-Gr.G,Schaerbeek-Groupe G,Schaarbeek-Groep G,Schaerbeek-Groupe G,Schaarbeek-Groep G,Station,Station,Gare
